timestamp,pod_name,cpu(m),memory(Mi),node
2026-03-31 18:58:42,load-generator,806m,5Mi,minikube
2026-03-31 18:58:42,nginx-deployment-65f54b4ccf-cdpps,32m,13Mi,minikube
2026-03-31 18:58:42,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:58:42,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:58:49,load-generator,806m,5Mi,minikube
2026-03-31 18:58:49,nginx-deployment-65f54b4ccf-cdpps,32m,13Mi,minikube
2026-03-31 18:58:49,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:58:49,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:59:01,load-generator,806m,5Mi,minikube
2026-03-31 18:59:01,nginx-deployment-65f54b4ccf-cdpps,32m,13Mi,minikube
2026-03-31 18:59:01,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:59:01,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:59:08,load-generator,808m,5Mi,minikube
2026-03-31 18:59:08,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:59:08,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:59:08,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:59:16,load-generator,808m,5Mi,minikube
2026-03-31 18:59:16,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:59:16,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:59:16,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:59:23,load-generator,808m,5Mi,minikube
2026-03-31 18:59:23,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:59:23,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:59:23,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:59:34,load-generator,808m,5Mi,minikube
2026-03-31 18:59:34,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:59:34,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:59:34,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:59:41,load-generator,808m,5Mi,minikube
2026-03-31 18:59:41,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:59:41,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:59:41,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:59:49,load-generator,808m,5Mi,minikube
2026-03-31 18:59:49,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:59:49,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:59:49,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:59:57,load-generator,808m,5Mi,minikube
2026-03-31 18:59:57,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:59:57,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:59:57,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:00:07,load-generator,808m,5Mi,minikube
2026-03-31 19:00:07,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:00:07,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:00:07,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:00:15,load-generator,811m,5Mi,minikube
2026-03-31 19:00:15,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:00:15,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:00:15,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:00:22,load-generator,811m,5Mi,minikube
2026-03-31 19:00:22,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:00:22,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:00:22,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:00:29,load-generator,811m,5Mi,minikube
2026-03-31 19:00:29,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
