2026-04-22 05:55:41.105503,ml-pod-1776708350,235m,0Mi,35h
2026-04-22 05:55:41.105513,ml-pod-1776708681,238m,0Mi,35h
2026-04-22 05:55:41.105524,ml-pod-1776708980,238m,0Mi,35h
2026-04-22 05:55:41.105533,ml-pod-1776709365,234m,0Mi,35h
2026-04-22 05:55:41.105543,ml-pod-1776709635,225m,0Mi,35h
2026-04-22 05:55:41.105553,ml-pod-1776709823,238m,0Mi,35h
2026-04-22 05:55:41.105562,ml-pod-1776709890,235m,1Mi,35h
2026-04-22 05:55:41.105572,ml-pod-1776710501,232m,0Mi,35h
2026-04-22 05:55:41.105582,ml-pod-1776710648,224m,0Mi,35h
2026-04-22 05:55:41.105592,ml-pod-1776710926,235m,0Mi,35h
2026-04-22 05:55:41.105601,ml-pod-1776710980,237m,0Mi,35h
2026-04-22 05:55:47.313128,cpu-loader-2-deployment-b5f7754c6-fkcnh,1391m,164Mi,35h
2026-04-22 05:55:47.313165,cpu-loader-2-deployment-b5f7754c6-lqpht,1392m,316Mi,35h
2026-04-22 05:55:47.313175,cpu-loader-2-deployment-b5f7754c6-mgcgg,1390m,236Mi,35h
2026-04-22 05:55:47.313186,cpu-loader-2-deployment-b5f7754c6-mmcfh,641m,0Mi,35h
2026-04-22 05:55:47.313196,cpu-loader-2-deployment-b5f7754c6-zmb9v,234m,1Mi,35h
2026-04-22 05:55:47.313206,cpu-loader-deployment-6df58f49b6-r46b4,233m,0Mi,35h
2026-04-22 05:55:47.313216,ml-pod-1776708350,235m,0Mi,35h
2026-04-22 05:55:47.313224,ml-pod-1776708681,238m,0Mi,35h
2026-04-22 05:55:47.313232,ml-pod-1776708980,238m,0Mi,35h
2026-04-22 05:55:47.313240,ml-pod-1776709365,234m,0Mi,35h
2026-04-22 05:55:47.313249,ml-pod-1776709635,225m,0Mi,35h
2026-04-22 05:55:47.313256,ml-pod-1776709823,238m,0Mi,35h
2026-04-22 05:55:47.313264,ml-pod-1776709890,235m,1Mi,35h
2026-04-22 05:55:47.313273,ml-pod-1776710501,232m,0Mi,35h
2026-04-22 05:55:47.313280,ml-pod-1776710648,224m,0Mi,35h
2026-04-22 05:55:47.313287,ml-pod-1776710926,235m,0Mi,35h
2026-04-22 05:55:47.313296,ml-pod-1776710980,237m,0Mi,35h
2026-04-22 05:55:53.308253,cpu-loader-2-deployment-b5f7754c6-fkcnh,1391m,164Mi,35h
2026-04-22 05:55:53.308291,cpu-loader-2-deployment-b5f7754c6-lqpht,1392m,316Mi,35h
2026-04-22 05:55:53.308305,cpu-loader-2-deployment-b5f7754c6-mgcgg,1390m,236Mi,35h
2026-04-22 05:55:53.308316,cpu-loader-2-deployment-b5f7754c6-mmcfh,641m,0Mi,35h
2026-04-22 05:55:53.308328,cpu-loader-2-deployment-b5f7754c6-zmb9v,234m,1Mi,35h
